tenant,prefecture,municipality,keyword,hit_count,error,search_url,search_date
oshu,岩手県,奥州市議会,ストーマ,8,,https://ssp.kaigiroku.net/tenant/oshu/MinuteSearch.html,2026-09-21
oshu,岩手県,奥州市議会,オストメイト,39,,https://ssp.kaigiroku.net/tenant/oshu/MinuteSearch.html,2026-09-21
oshu,岩手県,奥州市議会,蓄便袋,0,,https://ssp.kaigiroku.net/tenant/oshu/MinuteSearch.html,2026-09-21
oshu,岩手県,奥州市議会,蓄尿袋,0,,https://ssp.kaigiroku.net/tenant/oshu/MinuteSearch.html,2026-09-21
esashi,岩手県,奥州市議会,ストーマ,1,,https://ssp.kaigiroku.net/tenant/esashi/MinuteSearch.html,2026-09-21
esashi,岩手県,奥州市議会,オストメイト,3,,https://ssp.kaigiroku.net/tenant/esashi/MinuteSearch.html,2026-09-21
esashi,岩手県,奥州市議会,蓄便袋,1,,https://ssp.kaigiroku.net/tenant/esashi/MinuteSearch.html,2026-09-21
esashi,岩手県,奥州市議会,蓄尿袋,1,,https://ssp.kaigiroku.net/tenant/esashi/MinuteSearch.html,2026-09-21
isawa,岩手県,奥州市議会,ストーマ,0,,https://ssp.kaigiroku.net/tenant/isawa/MinuteSearch.html,2026-09-21
isawa,岩手県,奥州市議会,オストメイト,0,,https://ssp.kaigiroku.net/tenant/isawa/MinuteSearch.html,2026-09-21
isawa,岩手県,奥州市議会,蓄便袋,0,,https://ssp.kaigiroku.net/tenant/isawa/MinuteSearch.html,2026-09-21
isawa,岩手県,奥州市議会,蓄尿袋,0,,https://ssp.kaigiroku.net/tenant/isawa/MinuteSearch.html,2026-09-21
takizawa,岩手県,滝沢市議会,ストーマ,7,,https://ssp.kaigiroku.net/tenant/takizawa/MinuteSearch.html,2026-09-21
takizawa,岩手県,滝沢市議会,オストメイト,29,,https://ssp.kaigiroku.net/tenant/takizawa/MinuteSearch.html,2026-09-21
takizawa,岩手県,滝沢市議会,蓄便袋,0,,https://ssp.kaigiroku.net/tenant/takizawa/MinuteSearch.html,2026-09-21
takizawa,岩手県,滝沢市議会,蓄尿袋,0,,https://ssp.kaigiroku.net/tenant/takizawa/MinuteSearch.html,2026-09-21
shizukuishi,岩手県,雫石町議会,ストーマ,0,,https://ssp.kaigiroku.net/tenant/shizukuishi/MinuteSearch.html,2026-09-21
shizukuishi,岩手県,雫石町議会,オストメイト,0,,https://ssp.kaigiroku.net/tenant/shizukuishi/MinuteSearch.html,2026-09-21
shizukuishi,岩手県,雫石町議会,蓄便袋,0,,https://ssp.kaigiroku.net/tenant/shizukuishi/MinuteSearch.html,2026-09-21
shizukuishi,岩手県,雫石町議会,蓄尿袋,0,,https://ssp.kaigiroku.net/tenant/shizukuishi/MinuteSearch.html,2026-09-21
shiwa,岩手県,紫波町議会,ストーマ,2,,https://ssp.kaigiroku.net/tenant/shiwa/MinuteSearch.html,2026-09-21
shiwa,岩手県,紫波町議会,オストメイト,8,,https://ssp.kaigiroku.net/tenant/shiwa/MinuteSearch.html,2026-09-21
shiwa,岩手県,紫波町議会,蓄便袋,0,,https://ssp.kaigiroku.net/tenant/shiwa/MinuteSearch.html,2026-09-21
shiwa,岩手県,紫波町議会,蓄尿袋,0,,https://ssp.kaigiroku.net/tenant/shiwa/MinuteSearch.html,2026-09-21
kanegasaki,岩手県,金ケ崎町議会,ストーマ,10,,https://ssp.kaigiroku.net/tenant/kanegasaki/MinuteSearch.html,2026-09-21
kanegasaki,岩手県,金ケ崎町議会,オストメイト,9,,https://ssp.kaigiroku.net/tenant/kanegasaki/MinuteSearch.html,2026-09-21
kanegasaki,岩手県,金ケ崎町議会,蓄便袋,0,,https://ssp.kaigiroku.net/tenant/kanegasaki/MinuteSearch.html,2026-09-21
kanegasaki,岩手県,金ケ崎町議会,蓄尿袋,0,,https://ssp.kaigiroku.net/tenant/kanegasaki/MinuteSearch.html,2026-09-21
prefmiyagi,宮城県,宮城県議会,ストーマ,4,,https://ssp.kaigiroku.net/tenant/prefmiyagi/MinuteSearch.html,2026-09-21
prefmiyagi,宮城県,宮城県議会,オストメイト,34,,https://ssp.kaigiroku.net/tenant/prefmiyagi/MinuteSearch.html,2026-09-21
prefmiyagi,宮城県,宮城県議会,蓄便袋,1,,https://ssp.kaigiroku.net/tenant/prefmiyagi/MinuteSearch.html,2026-09-21
prefmiyagi,宮城県,宮城県議会,蓄尿袋,1,,https://ssp.kaigiroku.net/tenant/prefmiyagi/MinuteSearch.html,2026-09-21
ishinomaki,宮城県,石巻市議会,ストーマ,8,,https://ssp.kaigiroku.net/tenant/ishinomaki/MinuteSearch.html,2026-09-21
ishinomaki,宮城県,石巻市議会,オストメイト,52,,https://ssp.kaigiroku.net/tenant/ishinomaki/MinuteSearch.html,2026-09-21
ishinomaki,宮城県,石巻市議会,蓄便袋,-1,"Page.goto: Timeout 20000ms exceeded.
Call log:
  - navigating to ""https://ssp.kaigiroku.net/tenant/i",https://ssp.kaigiroku.net/tenant/ishinomaki/MinuteSearch.html,2026-09-21
ishinomaki,宮城県,石巻市議会,蓄尿袋,-1,"Page.goto: Timeout 20000ms exceeded.
Call log:
  - navigating to ""https://ssp.kaigiroku.net/tenant/i",https://ssp.kaigiroku.net/tenant/ishinomaki/MinuteSearch.html,2026-09-21
higashimatsushima,宮城県,東松島市議会,ストーマ,1,,https://ssp.kaigiroku.net/tenant/higashimatsushima/MinuteSearch.html,2026-09-21
higashimatsushima,宮城県,東松島市議会,オストメイト,3,,https://ssp.kaigiroku.net/tenant/higashimatsushima/MinuteSearch.html,2026-09-21
higashimatsushima,宮城県,東松島市議会,蓄便袋,0,,https://ssp.kaigiroku.net/tenant/higashimatsushima/MinuteSearch.html,2026-09-21
higashimatsushima,宮城県,東松島市議会,蓄尿袋,-1,"Page.goto: Timeout 20000ms exceeded.
Call log:
  - navigating to ""https://ssp.kaigiroku.net/tenant/h",https://ssp.kaigiroku.net/tenant/higashimatsushima/MinuteSearch.html,2026-09-21
oosaki,宮城県,大崎市議会,ストーマ,8,,https://ssp.kaigiroku.net/tenant/oosaki/MinuteSearch.html,2026-09-21
oosaki,宮城県,大崎市議会,オストメイト,5,,https://ssp.kaigiroku.net/tenant/oosaki/MinuteSearch.html,2026-09-21
oosaki,宮城県,大崎市議会,蓄便袋,-1,"Page.goto: Timeout 20000ms exceeded.
Call log:
  - navigating to ""https://ssp.kaigiroku.net/tenant/o",https://ssp.kaigiroku.net/tenant/oosaki/MinuteSearch.html,2026-09-21
oosaki,宮城県,大崎市議会,蓄尿袋,-1,"Page.goto: Timeout 20000ms exceeded.
Call log:
  - navigating to ""https://ssp.kaigiroku.net/tenant/o",https://ssp.kaigiroku.net/tenant/oosaki/MinuteSearch.html,2026-09-21
prefakita,秋田県,秋田県議会,ストーマ,8,,https://ssp.kaigiroku.net/tenant/prefakita/MinuteSearch.html,2026-09-21
prefakita,秋田県,秋田県議会,オストメイト,8,,https://ssp.kaigiroku.net/tenant/prefakita/MinuteSearch.html,2026-09-21
prefakita,秋田県,秋田県議会,蓄便袋,0,,https://ssp.kaigiroku.net/tenant/prefakita/MinuteSearch.html,2026-09-21
prefakita,秋田県,秋田県議会,蓄尿袋,0,,https://ssp.kaigiroku.net/tenant/prefakita/MinuteSearch.html,2026-09-21
noshiro,秋田県,能代市議会,ストーマ,1,,https://ssp.kaigiroku.net/tenant/noshiro/MinuteSearch.html,2026-09-21
noshiro,秋田県,能代市議会,オストメイト,2,,https://ssp.kaigiroku.net/tenant/noshiro/MinuteSearch.html,2026-09-21
noshiro,秋田県,能代市議会,蓄便袋,0,,https://ssp.kaigiroku.net/tenant/noshiro/MinuteSearch.html,2026-09-21
noshiro,秋田県,能代市議会,蓄尿袋,0,,https://ssp.kaigiroku.net/tenant/noshiro/MinuteSearch.html,2026-09-21
oga,秋田県,男鹿市議会,ストーマ,0,,https://ssp.kaigiroku.net/tenant/oga/MinuteSearch.html,2026-09-21
oga,秋田県,男鹿市議会,オストメイト,3,,https://ssp.kaigiroku.net/tenant/oga/MinuteSearch.html,2026-09-21
oga,秋田県,男鹿市議会,蓄便袋,0,,https://ssp.kaigiroku.net/tenant/oga/MinuteSearch.html,2026-09-21
oga,秋田県,男鹿市議会,蓄尿袋,0,,https://ssp.kaigiroku.net/tenant/oga/MinuteSearch.html,2026-09-21
yuzawa,秋田県,湯沢市議会,ストーマ,6,,https://ssp.kaigiroku.net/tenant/yuzawa/MinuteSearch.html,2026-09-21
yuzawa,秋田県,湯沢市議会,オストメイト,8,,https://ssp.kaigiroku.net/tenant/yuzawa/MinuteSearch.html,2026-09-21
yuzawa,秋田県,湯沢市議会,蓄便袋,0,,https://ssp.kaigiroku.net/tenant/yuzawa/MinuteSearch.html,2026-09-21
yuzawa,秋田県,湯沢市議会,蓄尿袋,-1,"Page.goto: Timeout 20000ms exceeded.
Call log:
  - navigating to ""https://ssp.kaigiroku.net/tenant/y",https://ssp.kaigiroku.net/tenant/yuzawa/MinuteSearch.html,2026-09-21
yurihonjo,秋田県,由利本荘市議会,ストーマ,2,,https://ssp.kaigiroku.net/tenant/yurihonjo/MinuteSearch.html,2026-09-21
yurihonjo,秋田県,由利本荘市議会,オストメイト,6,,https://ssp.kaigiroku.net/tenant/yurihonjo/MinuteSearch.html,2026-09-21
yurihonjo,秋田県,由利本荘市議会,蓄便袋,0,,https://ssp.kaigiroku.net/tenant/yurihonjo/MinuteSearch.html,2026-09-21
yurihonjo,秋田県,由利本荘市議会,蓄尿袋,0,,https://ssp.kaigiroku.net/tenant/yurihonjo/MinuteSearch.html,2026-09-21
kitaakita,秋田県,北秋田市議会,ストーマ,1,,https://ssp.kaigiroku.net/tenant/kitaakita/MinuteSearch.html,2026-09-21
kitaakita,秋田県,北秋田市議会,オストメイト,3,,https://ssp.kaigiroku.net/tenant/kitaakita/MinuteSearch.html,2026-09-21
kitaakita,秋田県,北秋田市議会,蓄便袋,0,,https://ssp.kaigiroku.net/tenant/kitaakita/MinuteSearch.html,2026-09-21
kitaakita,秋田県,北秋田市議会,蓄尿袋,0,,https://ssp.kaigiroku.net/tenant/kitaakita/MinuteSearch.html,2026-09-21
semboku,秋田県,仙北市議会,ストーマ,0,,https://ssp.kaigiroku.net/tenant/semboku/MinuteSearch.html,2026-09-21
semboku,秋田県,仙北市議会,オストメイト,5,,https://ssp.kaigiroku.net/tenant/semboku/MinuteSearch.html,2026-09-21
semboku,秋田県,仙北市議会,蓄便袋,0,,https://ssp.kaigiroku.net/tenant/semboku/MinuteSearch.html,2026-09-21
